jersey_number,field_position,international_name,birth_date,club_id,detailed_field_position,id,image_url,country_code,field_position_fr,height,weight,team_id,group,age,age_float,bmi,association_logo_url,big_logo_url,country_code_club,id_provider,international_name_club,logo_url,medium_logo_url,team_code,team_type_detail,display_official_name,field_position_hr,field_position_color,country_name,country_flag,country_name_club,country_flag_club,league_name,group_hr,nbr_selections,nbr_selections_euro,nbr_selections_wcup,nbr_selections_friendly
1,GOALKEEPER,Salvatore Sirigu,1987-01-12,50029,GOALKEEPER,106737,https://img.uefa.com/imgml/TP/players/3/2020/324x324/106737.jpg,ITA,Gardien,192.0,80.0,66,A,34,34.43835616438356,21.70138888888889,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50029.png,ITA,FAME,Torino,https://img.uefa.com/imgml/TP/teams/logos/70x70/50029.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50029.png,TOR,DOMESTIC_MEN_TEAM_A,Torino FC,Goalkeeper,#fc4f30,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,95.0,38.0,16.0,26.0
26,GOALKEEPER,Alex Meret,1997-03-22,50136,GOALKEEPER,250066753,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250066753.jpg,ITA,Gardien,,,66,A,24,24.24109589041096,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50136.png,ITA,FAME,Napoli,https://img.uefa.com/imgml/TP/teams/logos/70x70/50136.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50136.png,NAP,DOMESTIC_MEN_TEAM_A,SSC Napoli,Goalkeeper,#fc4f30,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,13.0,5.0,3.0,3.0
21,GOALKEEPER,Gianluigi Donnarumma,1999-02-25,50058,GOALKEEPER,250078922,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250078922.jpg,ITA,Gardien,196.0,90.0,66,A,22,22.30958904109589,23.427738442315704,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50058.png,ITA,FAME,Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50058.png,ACM,DOMESTIC_MEN_TEAM_A,AC Milan,Goalkeeper,#fc4f30,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,42.0,8.0,15.0,9.0
25,DEFENDER,Rafael Tolói,1990-10-10,52816,CENTRE_BACK,250112488,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250112488.jpg,ITA,Défenseur,,,66,A,31,30.693150684931503,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52816.png,ITA,FAME,Atalanta,https://img.uefa.com/imgml/TP/teams/logos/70x70/52816.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52816.png,ATA,DOMESTIC_MEN_TEAM_A,Atalanta BC,Defender,#6d904f,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,3.0,,1.0,2.0
2,DEFENDER,Giovanni Di Lorenzo,1993-08-04,50136,FULL_BACK,250064229,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250064229.jpg,ITA,Défenseur,,,66,A,28,27.873972602739727,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50136.png,ITA,FAME,Napoli,https://img.uefa.com/imgml/TP/teams/logos/70x70/50136.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50136.png,NAP,DOMESTIC_MEN_TEAM_A,SSC Napoli,Defender,#6d904f,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,14.0,4.0,3.0,3.0
13,DEFENDER,Emerson,1994-08-03,52914,FULL_BACK,250100056,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250100056.jpg,ITA,Défenseur,176.0,63.0,66,A,27,26.876712328767123,20.33832644628099,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ENG.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52914.png,ENG,FAME,Chelsea,https://img.uefa.com/imgml/TP/teams/logos/70x70/52914.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52914.png,CHE,DOMESTIC_MEN_TEAM_A,Chelsea FC,Defender,#6d904f,Italy,🇮🇹,England,🏴󠁧󠁢󠁥󠁮󠁧󠁿,Premiere League 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Group A,19.0,6.0,3.0,5.0
24,DEFENDER,Alessandro Florenzi,1991-03-11,52747,CENTRAL_MIDFIELDER,250026962,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250026962.jpg,ITA,Défenseur,173.0,67.0,66,A,30,30.27671232876712,22.386314277122523,https://img.uefa.com/imgml/uefacom/elements/logos/ma/FRA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52747.png,FRA,FAME,Paris,https://img.uefa.com/imgml/TP/teams/logos/70x70/52747.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52747.png,PAR,DOMESTIC_MEN_TEAM_A,Paris Saint-Germain,Defender,#6d904f,Italy,🇮🇹,France,🇫🇷,Ligue 1 🇫🇷,Group A,59.0,19.0,11.0,21.0
15,DEFENDER,Francesco Acerbi,1988-02-10,52973,CENTRE_BACK,250052957,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250052957.jpg,ITA,Défenseur,193.0,87.0,66,A,33,33.35890410958904,23.35633171360305,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/52973.png,ITA,FAME,Lazio,https://img.uefa.com/imgml/TP/teams/logos/70x70/52973.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/52973.png,LAZ,DOMESTIC_MEN_TEAM_A,SS Lazio,Defender,#6d904f,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,28.0,7.0,5.0,8.0
19,DEFENDER,Leonardo Bonucci,1987-05-01,50139,CENTRE_BACK,250017925,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250017925.jpg,ITA,Défenseur,190.0,86.0,66,A,34,34.13972602739726,23.822714681440445,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50139.png,ITA,FAME,Juventus,https://img.uefa.com/imgml/TP/teams/logos/70x70/50139.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50139.png,JUV,DOMESTIC_MEN_TEAM_A,Juventus,Defender,#6d904f,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,122.0,39.0,30.0,40.0
4,DEFENDER,Leonardo Spinazzola,1993-03-25,50137,FULL_BACK,250020885,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250020885.jpg,ITA,Défenseur,,,66,A,28,28.235616438356164,,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50137.png,ITA,FAME,Roma,https://img.uefa.com/imgml/TP/teams/logos/70x70/50137.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50137.png,ASR,DOMESTIC_MEN_TEAM_A,AS Roma,Defender,#6d904f,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,19.0,5.0,7.0,3.0
3,DEFENDER,Giorgio Chiellini,1984-08-14,50139,CENTRE_BACK,59142,https://img.uefa.com/imgml/TP/players/3/2020/324x324/59142.jpg,ITA,Défenseur,187.0,86.0,66,A,37,36.85205479452055,24.59321112985787,https://img.uefa.com/imgml/uefacom/elements/logos/ma/ITA.svg,https://img.uefa.com/imgml/TP/teams/logos/700x700/50139.png,ITA,FAME,Juventus,https://img.uefa.com/imgml/TP/teams/logos/70x70/50139.png,https://img.uefa.com/imgml/TP/teams/logos/240x240/50139.png,JUV,DOMESTIC_MEN_TEAM_A,Juventus,Defender,#6d904f,Italy,🇮🇹,Italy,🇮🇹,Serie A 🇮🇹,Group A,125.0,40.0,29.0,40.0
