jersey_number,field_position,international_name,birth_date,club_id,detailed_field_position,id,image_url,country_code,field_position_fr,height,weight,team_id,group,age,age_float,bmi
1,GOALKEEPER,Salvatore Sirigu,1987-01-12,50029,GOALKEEPER,106737,https://img.uefa.com/imgml/TP/players/3/2020/324x324/106737.jpg,ITA,Gardien,192.0,80.0,66,A,34,34.43835616438356,21.70138888888889
26,GOALKEEPER,Alex Meret,1997-03-22,50136,GOALKEEPER,250066753,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250066753.jpg,ITA,Gardien,,,66,A,24,24.24109589041096,
21,GOALKEEPER,Gianluigi Donnarumma,1999-02-25,50058,GOALKEEPER,250078922,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250078922.jpg,ITA,Gardien,196.0,90.0,66,A,22,22.30958904109589,23.427738442315704
25,DEFENDER,Rafael Tolói,1990-10-10,52816,CENTRE_BACK,250112488,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250112488.jpg,ITA,Défenseur,,,66,A,31,30.693150684931506,
2,DEFENDER,Giovanni Di Lorenzo,1993-08-04,50136,FULL_BACK,250064229,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250064229.jpg,ITA,Défenseur,,,66,A,28,27.873972602739727,
13,DEFENDER,Emerson,1994-08-03,52914,FULL_BACK,250100056,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250100056.jpg,ITA,Défenseur,176.0,63.0,66,A,27,26.876712328767123,20.33832644628099
24,DEFENDER,Alessandro Florenzi,1991-03-11,52747,CENTRAL_MIDFIELDER,250026962,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250026962.jpg,ITA,Défenseur,173.0,67.0,66,A,30,30.276712328767122,22.386314277122523
15,DEFENDER,Francesco Acerbi,1988-02-10,52973,CENTRE_BACK,250052957,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250052957.jpg,ITA,Défenseur,193.0,87.0,66,A,33,33.35890410958904,23.35633171360305
19,DEFENDER,Leonardo Bonucci,1987-05-01,50139,CENTRE_BACK,250017925,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250017925.jpg,ITA,Défenseur,190.0,86.0,66,A,34,34.13972602739726,23.822714681440445
4,DEFENDER,Leonardo Spinazzola,1993-03-25,50137,FULL_BACK,250020885,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250020885.jpg,ITA,Défenseur,,,66,A,28,28.235616438356164,
3,DEFENDER,Giorgio Chiellini,1984-08-14,50139,CENTRE_BACK,59142,https://img.uefa.com/imgml/TP/players/3/2020/324x324/59142.jpg,ITA,Défenseur,187.0,86.0,66,A,37,36.85205479452055,24.59321112985787
23,DEFENDER,Alessandro Bastoni,1999-04-13,50138,CENTRE_BACK,250091199,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250091199.jpg,ITA,Défenseur,,,66,A,22,22.18082191780822,
20,MIDFIELDER,Federico Bernardeschi,1994-02-16,50139,WINGER,250061597,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250061597.jpg,ITA,Milieu,183.0,75.0,66,A,27,27.336986301369862,22.395413419331717
6,MIDFIELDER,Marco Verratti,1992-11-05,52747,CENTRAL_MIDFIELDER,250006200,https://img.uefa.com/imgml/TP/players/3/2020/324x324/250006200.jpg,ITA,Milieu,165.0,60.0,66,A,29,28.61917808219178,22.03856749311295
